horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
45,nonlinear,43,2,-0.008020433154276266,-0.15064493539783175,0.5
60,baseline,0,1,0.0,0.0,0.0
60,baseline,1,2,0.0,0.0,0.5
60,baseline,2,1,0.0,0.0,0.0
60,baseline,7,1,0.0,0.0,0.0
60,baseline,9,2,0.0,0.0,0.0
60,baseline,10,1,0.0,0.0,0.0
60,baseline,25,1,0.0,0.0,0.0
60,baseline,26,1,0.0,0.0,0.0
60,baseline,28,1,0.0,0.0,0.0
60,baseline,31,1,0.0,0.0,0.0
60,baseline,32,1,0.0,0.0,1.0
60,baseline,33,1,0.0,0.0,0.0
60,baseline,35,1,0.0,0.0,0.0
60,baseline,38,1,0.0,0.0,0.0
60,baseline,39,1,0.0,0.0,1.0
60,baseline,40,1,0.0,0.0,0.0
60,baseline,42,1,0.0,0.0,0.0
60,baseline,54,2,0.0,0.0,0.5
60,baseline,55,1,0.0,0.0,0.0
60,internal,0,1,-0.03016930942019254,-0.6523016199525915,0.0
60,internal,1,2,0.0007728138115034588,-0.1463241332408432,0.5
60,internal,2,1,-0.04555835810779082,-0.33018199660052727,0.0
60,internal,7,1,-0.01657853432014396,-0.2854098224285587,0.0
60,internal,9,2,-0.048884897392536264,-0.1783150088016533,0.5
60,internal,10,1,0.020957276030459007,0.2834021794145153,1.0
60,internal,25,1,0.016303653727779373,0.3318885900596637,1.0
60,internal,26,1,-0.014782509448299362,0.20397936934297256,1.0
60,internal,28,1,-0.036590064973552106,-0.36517757929920047,0.0
60,internal,31,1,-0.0355137675181266,-0.32673221150357123,0.0
60,internal,32,1,0.011764764817290944,0.19585756322231157,1.0
60,internal,33,1,-0.05458117534727205,-0.9060561305371662,0.0
60,internal,35,1,-0.007234703966719047,-0.04276266963114206,0.0
60,internal,38,1,-0.016572685465043445,-0.07208455922799017,0.0
60,internal,39,1,0.006296334782132415,-0.6958752742567444,0.0
60,internal,40,1,-0.019678119043260913,-0.5676138019110251,0.0
60,internal,42,1,-0.0010629324875757922,0.022080940320623688,0.0
60,internal,54,2,0.0004412091190936218,-0.3947459769763635,0.0
60,internal,55,1,-0.03481978333391268,-0.07712264851721984,0.0
60,local,0,1,-0.026845146469972714,-0.9524440246761077,0.0
60,local,1,2,0.0038814853110003336,-0.34708636809228505,0.5
60,local,2,1,-0.07546385189940175,-0.8396480693020931,0.0
60,local,7,1,-0.006833528962852678,-0.3003221496414442,0.0
60,local,9,2,-0.0664551422480263,-0.3226097467734337,0.5
60,local,10,1,0.02061279643406988,0.3401068097546684,1.0
60,local,25,1,0.012409343121416387,0.3820741856407779,1.0
60,local,26,1,-0.025672003132361725,-0.12761438954265603,0.0
60,local,28,1,-0.018208064370140692,-0.11503049046423042,0.0
60,local,31,1,-0.05044199973442809,-0.8373984731436303,0.0
60,local,32,1,0.010367411099047843,0.22870293231703098,1.0
60,local,33,1,-0.07788439885819942,-1.1093575910093347,0.0
60,local,35,1,0.006506746663381361,0.133973431787485,0.0
60,local,38,1,-0.024321864277377876,-0.35014538548931373,0.0
60,local,39,1,0.022735850197952927,-0.37681298910027156,0.0
60,local,40,1,-0.01619262556421223,-0.7592193911626444,0.0
60,local,42,1,-0.011385063168815521,0.027408809955866253,0.0
60,local,54,2,-0.002380320452363638,-0.2694106400475281,0.0
60,local,55,1,-0.06793903406527291,-0.4621346915047111,0.0
60,turkey,0,1,-0.010622178340617669,-0.1020191165900407,0.0
60,turkey,1,2,0.007864389740764838,-0.5554966570412612,0.5
60,turkey,2,1,-0.02469864946126093,-0.014706225788804872,0.0
60,turkey,7,1,-0.0016646009092832481,0.040639619475421385,0.0
60,turkey,9,2,-0.028144988655954203,0.1146318030043939,0.5
60,turkey,10,1,0.03978932848151555,0.3327639035915002,1.0
60,turkey,25,1,0.011534806591034162,0.2432954113143836,1.0
60,turkey,26,1,0.006948461019694381,0.5964316029334056,1.0
60,turkey,28,1,-0.028780303608239813,-0.18211483736366796,0.0
60,turkey,31,1,-0.05246195513317614,-0.1423999918041351,0.0
60,turkey,32,1,0.010852854552903989,0.1596995077743164,1.0
